case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error,l2_unit_ratio,mechanically_legal
C001,IndependentCurve,proto_sw_1_1,expanded,simple,1,100013,1,1,0,0,,,4,0,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.07361269999819342,raw_cases/C001/methods/IndependentCurve,1,0,0,0,0,0,0.13104192039950888,0.027768053,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.13104192039950888,0.6918185860787058,0.5666881419344045,4,0,4,1.047776204690755,0.26194405117268876,0.08586903078408882,0.8963041119999999,0.013591922514619883,0.0,1.0,1.0,0.0,0.0,0.214822458,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.13636363599999998,0.196969697,0.310606061,0.515151515,0.484848485,0.25,,0.0,1.0
C001,FixedSlot,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,2.8706643000004988,raw_cases/C001/methods/FixedSlot,1,0,0,0,0,0,0.10077239594041364,0.027768053,0,0,0.0,0.9999999999999999,0,0.019566183166078943,0.01470616645356408,0,0,0.10073584327623215,0.5372372337068534,0.3062680147351568,4,1,4,1.4172674958405458,0.28345349916810914,0.15075633717184028,0.981722295,0.013454861111111112,0.5,0.5,0.75,0.25,0.0,0.214822458,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.163314238,0.21795465000000003,0.304640412,0.46912883099999997,0.5308711690000001,0.25,,0.25,1.0
C001,LocalGreedy,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,2,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.04214229999706731,raw_cases/C001/methods/LocalGreedy,1,0,0,0,0,0,0.13025855419383658,0.027768053,0,0,0.0,0.9999999999999999,0,0.0100600570751269,0.008064114118329547,0,0,0.13025855419383658,0.15190018588837909,0.12782861860474004,4,2,4,1.162703789718834,0.193783964953139,0.09714979338115522,0.762256334,0.011416072733918129,0.5,0.5,0.75,0.0,0.25,0.214822458,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.1439393935,0.1515151515,0.257575758,0.575757576,0.424242424,0.25,,0.25,1.0
C001,Ours,proto_sw_1_1,expanded,simple,1,100013,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2,fd2f99b6c0f210fc2bfa7b3a49320a39f3ca7a9e4816d556a47442ba4644f7b3,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1575422959__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.03914900000017951,raw_cases/C001/methods/Ours,1,0,0,0,0,0,0.13025855419383658,0.027768053,0,0,0.0,0.9999999999999999,0,0.002067883466356728,0.0012741523711913086,0,0,0.13025855419383658,0.15190018588837909,0.12782861860474004,4,1,4,1.0217698266580109,0.20435396533160216,0.08615774937126919,0.7570780500000001,0.01091922514619883,0.5,0.5,0.75,0.25,0.0,0.214822458,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.1439393935,0.1515151515,0.257575758,0.575757576,0.424242424,0.25,,0.25,1.0
C002,IndependentCurve,proto_sw_1_1,expanded,simple,2,100016,1,1,0,0,,,4,0,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.05666149999888148,raw_cases/C002/methods/IndependentCurve,1,0,0,0,0,0,0.17528059255621956,0.027768053,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.17528059255621956,0.23686018196569775,0.14027583681953673,4,0,4,1.0434810107367802,0.26087025268419506,0.09286680620026559,0.82915432,0.012255573830409356,0.75,0.25,1.0,0.0,0.0,0.212042533,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.17424242375,0.1818181815,0.25757575774999997,0.484848485,0.515151515,0.25,,0.0,1.0
C002,FixedSlot,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,,,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,2.8747107999988657,raw_cases/C002/methods/FixedSlot,1,0,0,0,0,0,0.10793721801970341,0.027768053,0,0,0.0,1.0000000000000002,0,0.00036767943715768547,0.000245324686668699,0,0,0.10791593094396063,0.41417698055994934,0.23538093965758444,4,1,4,1.3050134801853717,0.2610026960370743,0.11492128812552002,0.9477613220000001,0.014562774122807017,0.5,0.5,0.75,0.25,0.0,0.212042533,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.17006449750000002,0.21230737900000002,0.2922428815,0.47743579300000005,0.522564207,0.25,,0.25,1.0
C002,LocalGreedy,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,2,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.0490397000030498,raw_cases/C002/methods/LocalGreedy,1,0,0,0,0,0,0.2299465213980741,0.027768053,0,0,0.0,1.0000000000000002,0,0.005017144370761255,0.003891102880231983,0,0,0.2299465213980741,0.014572175553459004,0.011137229424531605,4,2,4,1.1552262281790426,0.1925377046965071,0.10859124043578079,0.83903273,0.011513157894736841,0.5,0.5,0.75,0.0,0.25,0.212042533,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.17424242375,0.1818181815,0.25757575774999997,0.484848485,0.515151515,0.25,,0.25,1.0
C002,Ours,proto_sw_1_1,expanded,simple,2,100016,1,1,1,1,,,4,1,4,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2,b3173be67f2137ce38af7c4b4072fda33adb5ec639c6c0ac56fb1c0a0e226593,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple,proto_sw_1_1__seed_1160898339__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.03938279999783845,raw_cases/C002/methods/Ours,1,0,0,0,0,0,0.2299465213980741,0.027768053,0,0,0.0,1.0000000000000002,0,0.005679392557598188,0.005016042721063663,0,0,0.2299465213980741,0.014572175553459004,0.011137229424531605,4,1,4,1.0139738143327617,0.20279476286655235,0.09407666023376537,0.82915432,0.011279011330409356,0.5,0.5,0.75,0.25,0.0,0.212042533,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.17424242375,0.1818181815,0.25757575774999997,0.484848485,0.515151515,0.25,,0.25,1.0
C003,IndependentCurve,proto_sw_1_1,expanded,medium,1,100006,1,1,0,0,,,5,0,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.05362229999809642,raw_cases/C003/methods/IndependentCurve,1,0,2,0,0,0,0.0,0.027768053,1,0,0.0,1.0,0,0.0,0.0,2,0,0.0,0.7129639142616087,0.4067324366205731,5,0,5,1.3075458516850977,0.26150917033701954,0.08632425041113873,0.839296753,0.020176580774853802,0.8,0.2,1.0,0.0,0.0,0.387900031,0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.09090909100000005,0.181818181,0.333333334,0.363636363,0.636363637,0.4,,0.0,0.0
C003,FixedSlot,proto_sw_1_1,expanded,medium,1,100006,1,1,1,1,,,5,1,5,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium,,,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_fixedslot,proto_sw_1_1__seed_4182263884__global_l1_flow_v3__density_medium__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.2459304000003613,raw_cases/C003/methods/FixedSlot,1,0,0,0,0,0,0.05781130385504561,0.027768053,0,0,0.0,1.0,0,0.006807394132311515,0.0053569858336210635,0,0,0.058039603999837396,1.3995041679724767,0.5719259509562832,5,1,5,1.9211859479622544,0.3201976579937091,0.15416617790840192,1.151810074,0.0193656341374269,0.6,0.4,0.8,0.2,0.0,0.387900031,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.2,0.06265954399999998,0.167450123,0.24158890900000007,0.466744424,0.533255576,0.4,,0.19999999999999996,1.0
